1,"(A, I, 2)","[S1, S2, S3, S4, S5, S6, S7]",[]
1,"(B, E, 6)","[S1, S2, S3, S4, S5, S6, S7]",[]
1,"(H, D, 3)","[S1, S2, S3, S4, S5, S6, S7]",[]
1,"(I, G, 2)","[S1, S2, S3, S4, S5, S6, S7]",[]
2,"(F, B, 3)","[S1, S2, S3, S4, S5, S6, S7]","[S4, S6]"
2,"(I, J, 1)","[S1, S2, S3, S4, S5, S6, S7]","[S4, S6]"
2,"(F, I, 7)","[S1, S2, S3, S4, S5, S6, S7]","[S4, S6]"
2,"(C, D, 6)","[S1, S2, S3, S4, S5, S6, S7]","[S4, S6]"
2,"(F, A, 2)","[S1, S2, S3, S4, S5, S6, S7]","[S4, S6]"
3,"(G, A, 3)","[S1, S3, S4, S5, S6]",[]
3,"(B, J, 8)","[S1, S3, S4, S5, S6]",[]
3,"(B, F, 3)","[S1, S3, S4, S5, S6]",[]
3,"(A, E, 6)","[S1, S3, S4, S5, S6]",[]
3,"(I, C, 1)","[S1, S3, S4, S5, S6]",[]
4,"(A, C, 2)","[S1, S2, S3, S4, S6, S7]",[S3]
4,"(A, J, 5)","[S1, S2, S3, S4, S6, S7]",[S3]
4,"(B, H, 2)","[S1, S2, S3, S4, S6, S7]",[S3]
4,"(J, F, 4)","[S1, S2, S3, S4, S6, S7]",[S3]
4,"(D, C, 1)","[S1, S2, S3, S4, S6, S7]",[S3]
4,"(B, A, 5)","[S1, S2, S3, S4, S6, S7]",[S3]
4,"(A, E, 4)","[S1, S2, S3, S4, S6, S7]",[S3]
5,"(A, B, 1)","[S1, S2, S3, S4, S5, S6, S7]",[S6]
5,"(D, E, 1)","[S1, S2, S3, S4, S5, S6, S7]",[S6]
5,"(I, J, 1)","[S1, S2, S3, S4, S5, S6, S7]",[S6]
5,"(J, A, 1)","[S1, S2, S3, S4, S5, S6, S7]",[S6]
5,"(B, C, 1)","[S1, S2, S3, S4, S5, S6, S7]",[S6]
5,"(F, G, 1)","[S1, S2, S3, S4, S5, S6, S7]",[S6]
5,"(H, I, 1)","[S1, S2, S3, S4, S5, S6, S7]",[S6]
5,"(E, F, 1)","[S1, S2, S3, S4, S5, S6, S7]",[S6]
5,"(G, H, 1)","[S1, S2, S3, S4, S5, S6, S7]",[S6]
5,"(C, D, 1)","[S1, S2, S3, S4, S5, S6, S7]",[S6]
6,"(A, I, 8)","[S1, S2, S3, S4, S5, S6, S7]","[S3, S5, S7]"
6,"(J, D, 3)","[S1, S2, S3, S4, S5, S6, S7]","[S3, S5, S7]"
6,"(F, G, 4)","[S1, S2, S3, S4, S5, S6, S7]","[S3, S5, S7]"
6,"(E, B, 5)","[S1, S2, S3, S4, S5, S6, S7]","[S3, S5, S7]"
6,"(C, H, 7)","[S1, S2, S3, S4, S5, S6, S7]","[S3, S5, S7]"
6,"(G, J, 1)","[S1, S2, S3, S4, S5, S6, S7]","[S3, S5, S7]"
7,"(G, J, 8)","[S1, S2, S3, S4, S5]",[S5]
7,"(C, H, 3)","[S1, S2, S3, S4, S5]",[S5]
7,"(E, B, 4)","[S1, S2, S3, S4, S5]",[S5]
7,"(F, G, 5)","[S1, S2, S3, S4, S5]",[S5]
7,"(J, D, 7)","[S1, S2, S3, S4, S5]",[S5]
7,"(A, J, 1)","[S1, S2, S3, S4, S5]",[S5]
8,"(A, B, 3)","[S1, S2, S3, S4, S5, S6, S7]",[S5]
8,"(E, C, 8)","[S1, S2, S3, S4, S5, S6, S7]",[S5]
8,"(J, D, 10)","[S1, S2, S3, S4, S5, S6, S7]",[S5]
9,"(D, F, 6)","[S1, S2, S3, S4, S5, S6, S7]","[S1, S2]"
9,"(I, J, 7)","[S1, S2, S3, S4, S5, S6, S7]","[S1, S2]"
9,"(E, G, 3)","[S1, S2, S3, S4, S5, S6, S7]","[S1, S2]"
10,"(A, B, 1)","[S1, S2, S3, S4, S5, S6, S7]",[S6]
10,"(D, E, 1)","[S1, S2, S3, S4, S5, S6, S7]",[S6]
10,"(I, J, 1)","[S1, S2, S3, S4, S5, S6, S7]",[S6]
10,"(J, A, 1)","[S1, S2, S3, S4, S5, S6, S7]",[S6]
10,"(B, C, 1)","[S1, S2, S3, S4, S5, S6, S7]",[S6]
10,"(F, G, 1)","[S1, S2, S3, S4, S5, S6, S7]",[S6]
10,"(H, I, 1)","[S1, S2, S3, S4, S5, S6, S7]",[S6]
10,"(E, F, 1)","[S1, S2, S3, S4, S5, S6, S7]",[S6]
10,"(G, H, 1)","[S1, S2, S3, S4, S5, S6, S7]",[S6]
10,"(C, D, 1)","[S1, S2, S3, S4, S5, S6, S7]",[S6]
10,"(A, B, 1)","[S1, S2, S3, S4, S5, S6, S7]",[S6]
10,"(D, E, 1)","[S1, S2, S3, S4, S5, S6, S7]",[S6]
10,"(I, J, 1)","[S1, S2, S3, S4, S5, S6, S7]",[S6]
10,"(J, A, 1)","[S1, S2, S3, S4, S5, S6, S7]",[S6]
10,"(B, C, 1)","[S1, S2, S3, S4, S5, S6, S7]",[S6]
10,"(F, G, 1)","[S1, S2, S3, S4, S5, S6, S7]",[S6]
10,"(H, I, 1)","[S1, S2, S3, S4, S5, S6, S7]",[S6]
10,"(E, F, 1)","[S1, S2, S3, S4, S5, S6, S7]",[S6]
10,"(G, H, 1)","[S1, S2, S3, S4, S5, S6, S7]",[S6]
10,"(C, D, 1)","[S1, S2, S3, S4, S5, S6, S7]",[S6]
10,"(A, B, 1)","[S1, S2, S3, S4, S5, S6, S7]",[S6]
10,"(D, E, 1)","[S1, S2, S3, S4, S5, S6, S7]",[S6]
10,"(I, J, 1)","[S1, S2, S3, S4, S5, S6, S7]",[S6]
10,"(J, A, 1)","[S1, S2, S3, S4, S5, S6, S7]",[S6]
10,"(B, C, 1)","[S1, S2, S3, S4, S5, S6, S7]",[S6]
10,"(F, G, 1)","[S1, S2, S3, S4, S5, S6, S7]",[S6]
10,"(H, I, 1)","[S1, S2, S3, S4, S5, S6, S7]",[S6]
10,"(E, F, 1)","[S1, S2, S3, S4, S5, S6, S7]",[S6]
10,"(G, H, 1)","[S1, S2, S3, S4, S5, S6, S7]",[S6]
10,"(C, D, 1)","[S1, S2, S3, S4, S5, S6, S7]",[S6]
10,"(A, B, 1)","[S1, S2, S3, S4, S5, S6, S7]",[S6]
10,"(D, E, 1)","[S1, S2, S3, S4, S5, S6, S7]",[S6]
10,"(I, J, 1)","[S1, S2, S3, S4, S5, S6, S7]",[S6]
10,"(J, A, 1)","[S1, S2, S3, S4, S5, S6, S7]",[S6]
10,"(B, C, 1)","[S1, S2, S3, S4, S5, S6, S7]",[S6]
10,"(F, G, 1)","[S1, S2, S3, S4, S5, S6, S7]",[S6]
